14-10-2020,0.44,Caustic,3,10,2483,16
26-11-2021,0.21,Bloodhound,0,7,858,20
5-4-2019,21.5,Bangalore,4,3,745,18
3-7-2020,10.49,Wraith,1,2,455,1
31-5-2020,4.22,Valkyrie,14,5,1950,9
30-7-2021,25.92,Valkyrie,12,2,2181,4
22-6-2019,9.24,Horizon,8,11,3679,15
8-9-2022,29.71,Bangalore,5,8,2687,8
9-7-2019,19.36,Valkyrie,2,14,892,19
22-6-2019,19.27,Gibraltar,7,6,2153,6
19-8-2021,23.84,Horizon,2,10,913,19
1-5-2022,12.01,Lifeline,9,7,958,18
24-11-2020,26.9,Horizon,5,2,1464,1
9-11-2019,20.26,Wraith,3,2,320,15
18-11-2020,6.33,Wraith,0,10,832,10
15-4-2020,12.88,Horizon,3,8,2044,8
7-3-2022,9.38,Bangalore,9,0,797,14
30-8-2021,12.82,Gibraltar,15,4,4057,1
29-11-2022,24.86,Wattson,2,7,1787,18
29-6-2022,1.99,Bangalore,0,2,302,7
9-10-2019,3.95,Wattson,1,5,465,14
21-9-2021,12.4,Pathfinder,2,8,1188,2
27-7-2019,24.87,Rampart,2,3,566,19
27-3-2021,16.26,Bloodhound,7,3,1447,9
7-5-2021,19.59,Lifeline,11,4,2557,2
31-12-2022,7.14,Pathfinder,1,1,166,16
16-1-2020,26.86,Gibraltar,5,8,1365,3
16-2-2020,7.68,Caustic,5,0,848,3
2-4-2022,2.91,Wattson,3,15,3217,12
8-1-2022,11.36,Wraith,1,13,1003,12
4-5-2020,0.21,Rampart,10,4,2826,7
27-12-2021,2.76,Horizon,1,0,103,12
22-11-2019,8.81,Valkyrie,3,4,1204,9
10-7-2019,27.44,Bloodhound,3,5,1345,4
21-11-2019,1.05,Gibraltar,0,2,238,11
21-8-2021,22.95,Pathfinder,15,9,4363,17
19-11-2019,5.79,Gibraltar,2,6,1182,1
23-7-2019,20.6,Wattson,7,8,795,1
7-12-2019,14.95,Rampart,2,2,866,10
17-6-2019,1.92,Bloodhound,15,4,2317,13
31-5-2021,14.82,Pathfinder,17,8,5215,8
12-11-2019,15.29,Bangalore,1,4,630,18
1-3-2019,11.18,Pathfinder,14,4,1632,4
9-4-2020,22.09,Pathfinder,10,9,3348,12
23-2-2021,11.45,Bangalore,1,1,235,1
2-6-2021,7.02,Rampart,12,3,2283,14
7-3-2021,15.32,Wraith,13,15,2652,3
2-8-2022,15.89,Lifeline,1,5,742,18
16-2-2021,10.66,Bloodhound,1,4,300,13
11-7-2022,27.83,Lifeline,8,3,1148,14
31-7-2020,5.73,Lifeline,7,0,1445,13
9-3-2019,23.31,Bloodhound,3,8,1814,5
14-4-2021,14.11,Valkyrie,1,8,1455,5
28-10-2019,22.31,Bloodhound,10,8,3462,17
12-5-2021,8.46,Horizon,10,5,1901,17
11-6-2021,16.47,Rampart,14,1,1257,20
18-1-2020,7.04,Gibraltar,1,0,209,11
4-5-2019,7.81,Pathfinder,1,2,284,19
30-11-2021,24.18,Wraith,2,7,896,11
4-5-2020,5.63,Rampart,5,3,481,2
15-3-2021,28.26,Valkyrie,6,12,2026,13
24-4-2019,19.81,Bloodhound,16,7,3795,4
