30-8-2019,15.43,Mad Maggie,2,1,263,13
11-6-2022,10.85,Gibraltar,3,1,547,1
3-10-2020,0.11,Revenant,3,3,1019,6
26-6-2020,8.09,Fuse,3,11,1699,5
8-9-2019,29.2,Gibraltar,12,5,2940,12
23-11-2019,17.89,Rampart,6,5,1493,17
3-6-2021,15.45,Lifeline,8,8,1958,18
22-7-2022,21.41,Octane,2,3,482,18
25-11-2019,14.65,Pathfinder,1,3,551,10
4-4-2019,6.93,Pathfinder,8,7,1539,10
26-1-2022,15.11,Lifeline,5,7,2282,15
18-3-2022,28.3,Lifeline,5,8,2592,3
18-10-2022,26.85,Bloodhound,5,8,2287,1
9-12-2020,22.62,Pathfinder,9,14,4043,6
18-11-2022,3.26,Octane,2,0,388,4
26-2-2019,16.49,Lifeline,3,5,540,19
6-10-2020,19.0,Ash,5,5,2067,7
24-3-2020,18.08,Horizon,4,11,1649,17
19-2-2019,9.14,Octane,7,5,1373,6
24-6-2022,12.13,Pathfinder,9,5,2575,11
19-3-2021,25.41,Crypto,8,8,3000,20
22-2-2022,25.87,Gibraltar,0,6,1010,5
4-9-2019,29.91,Revenant,3,3,916,6
29-12-2019,13.52,Fuse,10,7,1318,1
1-3-2019,14.99,Wraith,3,4,782,19
22-8-2019,8.94,Mad Maggie,6,4,1963,13
19-10-2021,21.8,Wraith,5,8,2387,5
22-9-2020,19.12,Revenant,9,7,3820,16
19-11-2021,5.87,Pathfinder,5,3,1674,9
1-8-2019,3.18,Gibraltar,2,2,837,13
20-2-2021,11.41,Pathfinder,2,2,423,13
17-5-2019,7.49,Mad Maggie,4,4,1923,12
13-6-2021,12.3,Valkyrie,9,12,3679,4
23-6-2021,26.18,Mad Maggie,6,11,3721,20
30-1-2020,2.3,Wraith,7,13,1989,9
8-3-2022,20.19,Mad Maggie,1,3,449,2
26-8-2019,10.71,Bangalore,6,1,1776,8
17-6-2022,25.88,Wattson,7,6,1333,8
21-1-2021,19.46,Wraith,4,5,1462,4
27-8-2019,26.99,Bloodhound,9,14,4202,2
21-1-2020,7.66,Gibraltar,5,5,1584,12
17-12-2019,9.13,Lifeline,11,12,4208,19
28-1-2020,25.91,Bloodhound,5,6,2441,17
29-6-2022,6.76,Fuse,4,1,595,5
4-9-2022,7.75,Wattson,6,3,1388,7
18-3-2021,4.22,Wattson,5,4,1242,14
