6-8-2021,3.34,Pathfinder,0,1,129,10
10-12-2020,16.64,Pathfinder,3,1,578,19
5-2-2022,21.23,Octane,9,5,1549,18
7-5-2020,10.16,Mad Maggie,5,8,1487,12
3-7-2020,1.26,Caustic,5,5,1402,13
28-3-2022,11.09,Ash,9,14,4255,10
28-8-2020,15.39,Mad Maggie,10,8,2029,3
19-11-2020,1.16,Horizon,1,0,186,11
20-10-2022,17.71,Bangalore,6,2,962,13
17-12-2019,17.66,Fuse,3,5,1058,4
15-5-2019,7.05,Mad Maggie,7,3,1854,1
15-1-2021,19.35,Mad Maggie,6,7,2736,18
4-2-2020,5.02,Ash,10,6,3600,20
13-5-2022,26.18,Lifeline,8,8,2889,17
8-3-2021,1.18,Horizon,1,2,573,10
5-1-2021,9.67,Bangalore,2,6,1608,6
5-9-2021,6.1,Wraith,3,4,672,13
25-7-2022,14.73,Horizon,9,3,1743,10
17-3-2021,18.53,Pathfinder,4,6,2114,11
6-9-2022,6.54,Mirage,6,8,2026,10
10-6-2019,18.67,Lifeline,6,6,1598,2
23-3-2020,19.55,Valkyrie,1,4,375,11
30-8-2021,20.5,Wraith,6,3,2180,3
17-3-2020,0.74,Caustic,3,3,557,12
19-6-2019,24.21,Pathfinder,3,12,2351,13
7-4-2022,12.9,Lifeline,12,6,3821,1
6-9-2019,4.14,Pathfinder,9,11,3492,8
26-2-2020,1.23,Bloodhound,10,8,2718,17
23-3-2022,11.75,Bangalore,1,3,875,15
30-3-2019,20.2,Octane,4,5,1068,8
1-1-2022,2.27,Mad Maggie,2,6,1854,20
3-6-2020,26.25,Pathfinder,9,7,3641,5
8-4-2020,26.98,Revenant,12,11,3535,14
1-3-2022,16.37,Lifeline,8,6,1312,16
28-10-2020,23.5,Horizon,8,7,3384,2
24-4-2022,9.48,Fuse,5,2,1556,10
25-9-2020,17.93,Wraith,3,10,1736,5
29-3-2019,23.28,Bloodhound,2,6,1814,3
8-3-2022,3.16,Caustic,6,4,1921,11
31-7-2019,3.04,Mirage,6,5,1904,14
23-8-2022,23.98,Bangalore,15,6,2719,5
23-6-2022,19.48,Fuse,9,7,1554,9
29-9-2022,7.55,Horizon,3,3,733,17
5-1-2021,9.26,Wattson,1,3,684,18
17-2-2022,16.01,Valkyrie,5,6,2671,13
27-12-2020,2.25,Mad Maggie,3,6,1886,13
11-6-2022,13.33,Horizon,8,8,4170,20
27-7-2020,20.47,Horizon,6,12,2017,1
16-11-2021,25.6,Ash,8,9,2291,2
20-11-2019,19.36,Horizon,2,3,923,7
5-1-2022,24.61,Mad Maggie,5,8,1571,15
16-12-2022,20.29,Wraith,3,4,932,2
25-8-2020,3.61,Mad Maggie,3,5,871,13
12-7-2021,23.35,Pathfinder,12,6,2072,6
29-3-2019,1.87,Ash,6,6,1921,2
7-11-2022,4.79,Valkyrie,6,9,3614,14
10-4-2019,22.21,Gibraltar,5,1,1289,2
4-8-2019,4.42,Mad Maggie,8,1,1584,7
27-6-2019,18.02,Mad Maggie,11,4,4066,6
18-6-2022,16.07,Mad Maggie,3,4,1440,18
6-8-2019,22.93,Gibraltar,9,5,3035,10
21-7-2022,12.12,Wattson,6,8,3631,15
16-7-2019,11.88,Caustic,7,6,2063,15
5-3-2019,4.93,Bangalore,0,1,152,9
13-12-2020,29.09,Horizon,4,3,935,12
12-7-2021,18.9,Gibraltar,4,7,2327,6
21-6-2019,21.08,Ash,4,11,2277,14
20-6-2019,11.19,Ash,6,5,3006,14
26-10-2021,7.2,Revenant,8,6,2080,15
8-9-2020,14.69,Bloodhound,10,6,3885,17
24-11-2022,11.66,Caustic,4,1,821,5
2-1-2022,12.05,Wraith,6,1,1174,10
6-9-2022,10.88,Gibraltar,8,8,3442,6
22-5-2022,20.2,Ash,4,5,2097,1
30-10-2022,12.72,Bloodhound,7,4,2522,8
11-7-2019,6.32,Horizon,11,12,5953,16
