16-4-2020,19.54,Bloodhound,9,0,1122,14
6-10-2019,19.2,Bangalore,2,5,438,12
21-8-2019,11.82,Bloodhound,6,6,2464,20
8-9-2019,23.72,Mad Maggie,4,4,556,10
20-2-2022,11.44,Pathfinder,6,6,1836,16
3-2-2021,20.27,Bloodhound,6,6,2290,6
19-2-2022,6.27,Ash,11,9,4316,7
21-11-2022,1.56,Bangalore,1,2,273,17
2-11-2020,8.85,Pathfinder,1,1,127,14
10-5-2022,27.61,Ash,5,5,1939,19
24-5-2020,26.93,Wraith,3,6,584,10
21-9-2021,10.15,Mad Maggie,5,7,2550,5
17-8-2021,7.68,Lifeline,5,9,2392,17
23-8-2022,19.89,Mad Maggie,7,9,3315,20
3-4-2019,24.06,Revenant,6,8,1715,5
4-1-2022,1.6,Revenant,3,3,855,14
8-2-2022,21.39,Ash,2,4,681,7
5-6-2019,7.98,Lifeline,4,6,1174,6
31-7-2022,18.5,Lifeline,7,4,1236,18
30-8-2021,15.65,Ash,9,6,2636,7
11-12-2019,8.26,Octane,7,8,2809,5
28-11-2020,20.52,Bloodhound,1,1,262,2
23-9-2022,15.34,Gibraltar,6,1,1420,18
4-5-2020,0.91,Mad Maggie,2,3,927,5
6-12-2021,20.47,Pathfinder,5,5,807,17
8-5-2022,10.1,Lifeline,7,10,1870,14
21-11-2021,25.84,Lifeline,9,8,2803,11
13-4-2020,0.69,Bloodhound,9,7,3339,17
5-4-2019,23.18,Octane,6,8,2169,1
24-9-2021,2.72,Mad Maggie,9,5,1584,19
20-10-2022,0.08,Revenant,2,6,859,7
16-7-2021,20.62,Lifeline,3,11,2800,3
28-10-2019,6.04,Ash,8,6,2596,8
4-1-2020,2.99,Bangalore,8,10,1761,18
24-9-2019,12.35,Bloodhound,12,8,4438,2
22-5-2022,15.58,Pathfinder,1,6,1562,12
16-8-2019,5.95,Pathfinder,1,8,1201,5
4-6-2022,24.83,Bloodhound,3,4,1595,15
4-5-2020,29.8,Revenant,6,5,2334,9
17-7-2022,27.31,Pathfinder,9,13,5433,2
15-3-2022,22.91,Octane,6,6,1959,10
2-5-2019,1.49,Bloodhound,6,10,1932,14
19-7-2019,5.11,Ash,3,2,717,3
12-9-2021,2.29,Bloodhound,2,1,460,20
22-6-2021,23.48,Mad Maggie,2,3,856,3
24-7-2020,6.14,Gibraltar,3,3,1311,6
23-1-2022,18.43,Lifeline,5,6,2611,4
10-5-2022,10.29,Pathfinder,9,5,3226,6
7-11-2021,3.36,Mad Maggie,6,7,3371,1
26-4-2019,27.87,Lifeline,2,2,519,19
24-10-2020,29.83,Bloodhound,4,1,718,6
31-3-2022,10.1,Pathfinder,3,5,933,5
17-8-2019,14.47,Octane,3,4,1170,15
