8-4-2021,28.04,Wraith,3,4,545,4
15-12-2020,26.02,Horizon,2,2,702,13
8-3-2020,21.73,Bangalore,10,7,3260,12
27-4-2021,20.54,Octane,9,4,1205,11
30-4-2019,4.98,Bloodhound,10,6,2729,5
30-10-2020,20.32,Wattson,7,9,1174,19
3-3-2020,27.05,Octane,14,8,4663,15
19-6-2022,19.09,Bloodhound,2,0,361,11
21-3-2020,2.06,Bloodhound,1,2,572,8
13-5-2022,11.61,Bloodhound,5,9,2211,20
9-5-2019,21.3,Revenant,4,4,771,17
17-1-2022,25.39,Bangalore,8,4,2578,5
19-6-2019,12.39,Wattson,5,14,3562,1
21-10-2020,17.67,Valkyrie,7,11,1280,8
5-1-2022,4.44,Gibraltar,1,3,355,15
25-4-2019,25.03,Pathfinder,5,1,939,8
9-4-2019,12.46,Bangalore,2,3,656,13
4-3-2019,13.92,Mad Maggie,3,8,1922,19
1-7-2021,23.49,Bangalore,6,6,2231,19
29-11-2020,28.78,Bloodhound,12,6,2139,7
10-1-2020,19.99,Wattson,8,8,1795,1
25-9-2021,23.35,Bangalore,4,4,960,9
1-7-2021,0.97,Wraith,6,5,1891,17
16-9-2019,27.69,Pathfinder,5,7,2515,16
17-2-2021,2.18,Bloodhound,5,4,1759,11
21-10-2022,14.81,Bangalore,10,9,2918,7
10-12-2021,17.27,Horizon,7,11,3007,4
3-12-2019,14.07,Gibraltar,10,8,1753,18
7-3-2019,5.72,Valkyrie,0,0,0,2
17-5-2019,2.14,Lifeline,2,2,335,18
23-6-2019,17.8,Mad Maggie,4,2,1316,20
29-11-2019,9.6,Mad Maggie,3,11,2314,7
5-3-2019,18.81,Revenant,5,5,1754,18
26-3-2022,7.23,Bangalore,6,12,1998,9
14-2-2020,15.02,Octane,13,6,2000,19
30-10-2020,27.51,Wraith,8,2,1415,4
13-10-2020,8.1,Revenant,2,1,646,14
7-8-2022,10.8,Bloodhound,3,5,1205,10
7-5-2020,1.79,Wraith,3,4,1656,1
25-9-2021,21.71,Bloodhound,6,5,1896,7
24-1-2020,23.78,Wattson,5,9,1420,16
7-5-2019,5.75,Wattson,11,8,3150,14
18-6-2022,20.36,Mad Maggie,4,4,1677,9
25-11-2019,16.71,Wattson,3,1,803,16
28-5-2019,6.35,Wraith,6,2,1444,17
5-5-2022,14.92,Revenant,7,3,1542,15
17-2-2020,8.94,Bloodhound,4,7,1549,17
12-6-2020,8.77,Wraith,5,6,2562,4
31-3-2021,7.51,Wattson,8,6,2379,1
7-2-2021,23.28,Bloodhound,4,4,944,19
24-7-2022,27.61,Revenant,2,6,1069,3
8-9-2022,21.79,Revenant,6,2,1374,11
7-6-2022,28.42,Bangalore,4,6,1282,11
24-12-2022,10.93,Octane,5,11,3491,11
3-3-2021,8.32,Valkyrie,6,6,2299,4
25-2-2021,7.27,Bangalore,6,6,2636,8
19-5-2022,27.13,Horizon,3,2,721,3
1-8-2022,3.54,Horizon,2,1,445,5
3-10-2020,1.44,Horizon,2,7,2163,14
21-11-2019,6.04,Gibraltar,3,7,2279,5
18-7-2021,13.46,Octane,11,7,3364,14
27-1-2021,12.79,Wattson,8,6,3039,10
25-11-2020,0.08,Revenant,8,6,3615,2
29-3-2021,10.76,Gibraltar,1,1,437,15
27-5-2021,2.3,Valkyrie,4,7,1809,18
25-11-2019,14.94,Horizon,2,3,1291,11
28-5-2020,27.64,Octane,5,4,1066,4
26-12-2021,17.14,Octane,7,9,3861,5
27-7-2021,19.01,Gibraltar,5,6,2988,13
1-11-2020,24.87,Horizon,13,7,4753,1
11-2-2019,12.14,Gibraltar,0,1,166,14
7-5-2019,5.45,Bangalore,2,4,1066,20
19-8-2022,25.07,Lifeline,7,4,2617,5
3-1-2020,25.29,Pathfinder,5,9,3647,20
3-7-2021,23.15,Pathfinder,9,8,4501,19
20-6-2019,13.47,Wraith,8,10,4818,2
12-10-2021,1.43,Wraith,11,9,2615,17
20-4-2021,12.78,Wattson,1,8,1454,11
30-4-2019,14.37,Wattson,2,5,1347,20
6-1-2022,11.13,Gibraltar,2,2,900,11
29-6-2019,8.61,Pathfinder,4,8,1618,18
19-10-2021,7.09,Pathfinder,8,6,2398,12
12-2-2021,7.08,Wraith,10,6,4124,18
21-7-2021,25.92,Lifeline,7,14,5569,15
1-2-2020,12.31,Mad Maggie,3,0,503,19
29-7-2022,26.2,Mad Maggie,2,4,1394,19
26-4-2019,18.88,Lifeline,2,5,1400,12
18-5-2022,0.54,Bangalore,6,3,1816,14
13-4-2021,4.36,Lifeline,6,4,1600,4
19-10-2021,5.69,Pathfinder,7,5,3122,20
20-7-2019,19.96,Pathfinder,10,12,4265,8
12-12-2022,18.17,Octane,3,1,710,2
18-7-2020,27.01,Bangalore,10,7,4208,5
6-7-2022,8.02,Lifeline,2,5,1476,8
23-10-2019,7.05,Revenant,8,7,3562,11
16-6-2020,29.13,Lifeline,6,9,2363,5
18-12-2020,26.72,Pathfinder,6,8,3190,19
19-10-2021,26.59,Horizon,11,7,2827,2
2-1-2021,11.54,Pathfinder,1,3,740,10
10-3-2020,29.61,Wraith,1,1,529,14
3-2-2020,20.66,Valkyrie,3,4,1456,10
4-10-2020,10.63,Revenant,3,8,2028,18
16-11-2021,28.55,Wraith,8,7,2424,17
14-3-2020,27.74,Horizon,5,9,2710,17
10-1-2021,17.08,Revenant,10,9,5291,10
30-1-2022,4.36,Mad Maggie,2,0,654,19
15-5-2019,27.25,Gibraltar,1,1,331,2
14-4-2022,2.69,Pathfinder,3,2,1205,13
2-10-2020,18.22,Bangalore,3,3,1797,5
15-2-2021,23.68,Mad Maggie,7,5,3540,15
1-11-2022,11.23,Lifeline,10,9,5148,5
4-11-2021,9.2,Gibraltar,8,8,3285,12
20-7-2021,23.7,Bangalore,1,2,554,1
7-12-2019,14.78,Revenant,1,2,950,20
22-7-2021,24.86,Gibraltar,12,5,3752,5
19-8-2019,17.77,Wattson,6,5,2013,3
9-5-2020,23.26,Gibraltar,14,7,6744,19
26-3-2020,29.97,Bangalore,7,6,3048,13
1-7-2020,5.04,Horizon,6,8,2381,3
11-11-2020,17.6,Lifeline,0,0,0,2
25-12-2019,14.48,Gibraltar,1,6,2161,18
11-11-2021,19.94,Revenant,5,4,2832,13
7-12-2019,12.78,Bloodhound,11,3,4140,1
7-4-2021,5.04,Valkyrie,4,6,3083,14
11-10-2021,0.98,Horizon,5,5,2277,9
6-11-2021,23.5,Gibraltar,8,10,5934,7
4-9-2019,19.1,Horizon,6,1,1306,9
12-3-2020,9.76,Wraith,2,1,1009,4
14-9-2019,4.0,Pathfinder,5,2,2330,16
6-12-2019,28.1,Horizon,5,6,2511,14
2-3-2022,22.71,Lifeline,7,7,3232,3
31-10-2021,16.32,Horizon,5,9,3343,12
17-10-2020,18.93,Horizon,11,9,4609,7
27-10-2022,13.87,Bloodhound,6,0,1209,13
14-1-2022,10.01,Revenant,2,1,577,4
25-1-2022,14.94,Lifeline,2,4,1805,19
13-8-2020,4.68,Pathfinder,6,6,3495,9
5-10-2021,25.03,Wattson,13,9,7874,7
7-3-2022,7.51,Wattson,9,7,5342,12
9-9-2020,6.74,Revenant,7,8,3941,8
9-5-2021,1.46,Valkyrie,0,0,0,14
4-3-2022,7.48,Mad Maggie,8,2,3044,8
29-11-2020,13.0,Bangalore,9,3,3448,16
22-9-2019,23.5,Pathfinder,4,5,1970,11
31-12-2022,28.56,Gibraltar,7,10,4996,16
28-1-2020,19.97,Bangalore,9,12,4896,7
16-10-2021,27.73,Lifeline,9,13,6727,7
4-8-2020,15.08,Lifeline,0,5,1570,20
5-2-2022,8.51,Bloodhound,6,3,2187,10
21-8-2020,11.26,Octane,2,6,2138,1
23-8-2020,14.43,Wattson,5,8,3892,17
24-8-2022,4.61,Gibraltar,6,4,2326,7
16-6-2021,17.07,Wraith,6,11,3873,11
27-11-2021,22.22,Revenant,13,11,6769,18
14-2-2019,0.78,Bangalore,6,0,2031,8
22-4-2021,3.17,Octane,1,4,1217,1
8-10-2021,25.01,Wattson,3,6,2288,11
11-5-2021,18.57,Mad Maggie,5,11,4252,13
3-9-2021,16.89,Octane,7,5,2667,19
28-9-2022,6.58,Mad Maggie,5,6,3349,11
3-10-2022,10.97,Horizon,7,6,4562,11
24-7-2020,14.08,Wraith,1,2,677,1
12-5-2021,10.79,Revenant,3,5,2411,6
15-5-2019,26.51,Mad Maggie,5,3,2172,19
26-10-2020,0.35,Pathfinder,7,3,3068,7
11-3-2020,5.06,Revenant,4,4,2745,19
22-8-2020,10.07,Mad Maggie,6,6,3559,2
26-1-2021,3.9,Gibraltar,6,6,4266,16
14-4-2021,26.4,Horizon,3,1,1368,12
2-4-2022,12.03,Wattson,2,3,1446,1
14-8-2021,29.29,Lifeline,8,5,3920,6
26-6-2019,13.66,Lifeline,7,3,3821,19
17-6-2021,10.9,Lifeline,5,5,2778,17
29-7-2019,23.01,Pathfinder,14,8,7515,8
16-11-2022,13.27,Octane,6,12,6764,11
22-10-2020,20.33,Mad Maggie,9,1,3203,9
6-4-2019,7.81,Revenant,1,6,2462,7
22-1-2020,26.24,Mad Maggie,3,5,2113,3
9-8-2020,4.65,Wraith,11,4,3670,3
13-8-2021,21.89,Revenant,6,10,5315,11
11-8-2020,27.77,Wraith,8,8,4227,20
24-7-2022,21.96,Horizon,15,7,8889,10
19-6-2019,26.05,Mad Maggie,2,1,810,14
25-12-2019,23.8,Wattson,7,1,2317,20
12-2-2019,19.17,Pathfinder,10,3,3524,15
5-3-2020,15.28,Bangalore,10,11,6936,15
24-9-2022,16.26,Bangalore,7,4,2724,14
4-8-2019,25.91,Horizon,8,7,5266,18
11-3-2020,20.06,Wattson,7,12,7393,6
19-9-2022,6.46,Lifeline,5,8,4436,13
16-4-2019,28.32,Mad Maggie,5,3,2147,13
24-9-2019,21.91,Octane,3,4,1863,3
28-6-2021,15.44,Mad Maggie,4,4,2403,8
6-6-2021,3.79,Horizon,7,5,3664,8
12-2-2019,10.52,Valkyrie,6,6,3675,5
11-10-2019,29.59,Bloodhound,7,11,4465,1
15-9-2022,15.77,Bangalore,2,1,854,12
6-10-2022,27.61,Pathfinder,10,4,5497,1
16-4-2021,24.28,Valkyrie,8,7,4465,5
18-4-2021,6.88,Gibraltar,3,5,2938,4
13-7-2020,15.79,Valkyrie,11,7,3341,5
10-3-2022,1.07,Octane,5,7,1952,1
23-5-2021,4.11,Gibraltar,6,11,3463,10
28-4-2022,17.81,Pathfinder,0,2,325,4
30-11-2021,10.4,Mad Maggie,5,2,768,16
6-12-2022,7.64,Bangalore,4,3,564,14
19-2-2022,1.32,Wraith,4,11,2060,6
27-9-2019,10.92,Gibraltar,10,8,2631,14
12-1-2021,12.32,Lifeline,9,13,4413,1
11-3-2021,24.57,Wattson,8,6,2592,17
10-4-2021,8.45,Wraith,0,3,220,2
19-6-2019,10.44,Wraith,4,2,413,12
6-11-2020,11.59,Revenant,6,7,1645,16
10-11-2019,20.97,Wraith,4,7,1691,11
2-5-2021,19.66,Valkyrie,5,10,1796,9
30-9-2020,26.91,Wattson,6,7,2935,2
12-10-2020,0.05,Pathfinder,15,6,2993,18
19-2-2021,4.65,Mad Maggie,3,1,907,12
17-12-2021,28.28,Pathfinder,8,3,2314,7
29-1-2022,20.8,Bloodhound,3,4,1351,14
12-11-2022,0.87,Octane,8,7,2811,13
31-7-2021,13.4,Wattson,7,5,2028,7
16-10-2021,4.59,Gibraltar,5,8,1990,19
26-2-2022,22.48,Lifeline,14,10,5685,4
13-1-2021,26.64,Octane,0,11,1730,12
26-4-2020,19.98,Wattson,5,2,1341,20
11-12-2019,9.69,Bangalore,6,6,2320,7
19-10-2022,8.17,Pathfinder,5,4,1067,2
18-3-2021,1.2,Horizon,4,4,1438,3
16-1-2022,12.99,Revenant,6,7,3095,18
27-9-2022,9.6,Lifeline,7,9,1740,16
25-11-2021,27.47,Bangalore,1,6,982,15
4-9-2020,10.26,Horizon,5,1,875,8
28-11-2020,27.41,Bangalore,4,4,1068,4
